58,EDWARD SANCHEZ,763 Lafayette Street 90967,9330006223
61,THOMAS MEYERS,781 Hanover Court 14412,6503526320
64,BERTHA OLSON,782 Front Street North 24018,3745828987
66,TONI RICE,82 12th Street 14031,8146157779
69,LAURA MARTINEZ,259 Valley Road 43143,9752224111
72,CHRISTOPHER MONROE,38 Adams Avenue 66172,3502033564
73,CHARLES COOPER,409 Orchard Lane 97988,868115007
75,TODD MCGEE,554 Evergreen Lane 53777,4096731824
76,MARY MORRISON,971 Mulberry Court 54631,1188631941
77,LLOYD JACKSON,364 Valley Drive 45503,5901789719
79,THOMAS STANTON,993 Linden Street 21766,4149610631
80,GEORGE ESTES,212 Bank Street 10529,8792632600
81,GEORGE GARCIA,485 York Road 65236,6621838700
84,WALTER PATEL,207 13th Street 29967,3397977412
86,EDWIN CASE,122 Valley View Drive 47625,3051333384
88,JOHN MOORE,314 Route 32 60499,7359168032
89,JANET MILES,573 2nd Street 64246,9467536657
90,RON WILLIAMS,814 Canterbury Court 50491,2717819239
91,JOANNE RAMIREZ,18 Route 1 68504,3718428975
94,ERNEST LANG,616 Lilac Lane 39092,6168526211
95,GEORGE COOPER,592 Pennsylvania Avenue 22170,6105341303
97,KAREN GALLEGOS,460 Durham Court 26731,6263563734
99,KEITH ANDERSON,358 Overlook Circle 64075,3606292945
102,GLORIA HOWARD,886 Valley View Road 80841,7425268010
105,BENJAMIN MCCALL,226 Cedar Street 97768,6475222046
107,TIMOTHY NELSON,768 Ridge Street 94934,2071808072
109,CINDY WIGGINS,179 Pin Oak Drive 49509,9852473873
110,FRANK MCPHERSON,770 Henry Street 33141,8777416759
112,MARCIA GARCIA,160 Roosevelt Avenue 51058,4132107554
115,TONI MICHAEL,73 Church Road 78560,5947555624
118,VICKIE DAVIS,509 Heather Court 23723,2587770943
121,BILL PECK,819 Mulberry Court 54631,4818890072
124,MARY WALTERS,367 Harrison Street 16983,4964210578
127,JOSEPH MILES,941 Street Road 29223,2670840059
128,JEFFREY BURGESS,295 Sycamore Street 22248,7956565852
130,MICHAEL DANIELS,618 Willow Lane 79029,7678330041
133,ALFREDO MCMILLAN,979 Strawberry Lane 70342,7435651657
134,RONALD NAVARRO,45 Elmwood Avenue 13767,943864016
136,PAULINE GRIFFIN,799 Lawrence Street 56962,3021971460
138,SAMANTHA MENDOZA,741 5th Avenue 87129,6206329744
140,JERRY HANCOCK,334 Lexington Court 68454,9584471075
143,HERMAN DAVENPORT,775 Court Street 33952,7906222184
145,ELSIE MURRAY,392 Mechanic Street 90212,505407227
147,RICHARD THOMPSON,463 Broadway 51185,5895845380
148,RICHARD SMITH,824 Railroad Street 80064,5933434238
149,ANN SIMON,165 Oak Street 64399,4940900237
151,RONALD SCOTT,455 Eagle Street 78883,4619057451
152,MARY FARLEY,224 Myrtle Avenue 17594,9820253817
153,GAIL STEIN,251 Cleveland Street 29060,394715626
155,PETER GLENN,772 2nd Street West 25203,3052054857
156,CHRIS BLANKENSHIP,289 5th Street East 99283,7238054207
159,SYLVIA ALEXANDER,262 Clay Street 10551,3368683194
161,LESLIE TUCKER,371 Hillcrest Avenue 70077,8465261958
163,BARBARA TAYLOR,801 Sycamore Drive 45154,6256123831
166,JOHN WIGGINS,331 Front Street North 24018,6864543387
169,BRETT COOKE,586 Main Street South 22943,4423398716
171,MISTY EDWARDS,619 B Street 36790,9568827285
172,DELORES COOK,157 Ann Street 65176,2731282342
173,DEANNA CLEVELAND,899 Old York Road 37200,2235773691
174,DAVID WILLIAMSON,492 Spruce Avenue 32856,8465080783
176,FLOYD MYERS,239 Warren Avenue 37403,9814727499
178,KATHLEEN ALFORD,937 Brandywine Drive 83766,7940719914
180,LEE JACOBSON,998 Cedar Court 12192,6309902634
183,MARY FARLEY,751 Woodland Road 74393,7887936096
184,RALPH MARTINEZ,376 Ridge Road 87098,4202397659
187,LAURA STEVENSON,206 Euclid Avenue 24981,4214643224
190,WAYNE HUDSON,832 Roberts Road 29242,5119075592
192,BONNIE MCCARTY,171 Sherman Street 68467,2926174414
193,CAROLYN JOHNSON,260 Hickory Lane 55694,3734483967
194,APRIL BUTLER,591 Wood Street 48383,4437505409
195,ANDREW FLETCHER,228 Mulberry Street 56125,5459645918
197,MARLENE WILDER,95 Berkshire Drive 24882,1695320518
199,MARIA HOUSE,880 Garden Street 62064,8651598831
200,WILLIAM JOYCE,444 4th Street 13143,5277310438
202,AMY PRICE,120 Laurel Street 28825,1030748665
204,MARIE DANIEL,272 Jefferson Court 16295,3332229620
205,MARIA ANDERSON,991 Virginia Street 39085,452311007
206,AMY GRANT,703 Brandywine Drive 83766,4318443312
208,CARLA SCHULTZ,786 Hillside Drive 54464,7195509325
209,DEANNA CASTANEDA,947 Holly Drive 89150,4619868917
210,MARC WATTS,317 Orchard Avenue 82366,1045490183
211,CHRISTINE CRAWFORD,367 East Avenue 13938,9707593392
213,JUDITH GILES,594 West Avenue 45917,9420054001
214,KIMBERLY MARTIN,228 Broad Street West 48892,3274319793
216,CHARLES LOGAN,78 Country Club Drive 32425,5822150049
218,CAROLYN SELLERS,421 Clinton Street 81990,9354162886
219,MARIA BURTON,14 Fairview Avenue 95586,5450455361
222,PATRICIA SCOTT,717 Route 5 83471,2712972362
224,RON BROWN,969 Monroe Street 88559,7321004313
225,LESTER CLARK,516 Church Street 12657,2442707627
226,MELINDA WARREN,517 Cedar Avenue 69188,5035779671
229,KRISTIN DAVIS,984 Lilac Lane 39092,1860042877
230,MARY FLEMING,369 Meadow Lane 27182,2138863647
232,LINDA CRAWFORD,525 Sunset Drive 65508,9289602517
235,MICHAEL BARRETT,42 Route 1 68504,2493365069
236,STEVE FORBES,565 Route 1 68504,3684275202
239,THERESA WALTON,55 5th Street East 99283,3728183560
241,GLEN COLE,866 Beech Street 65097,1407340702
244,JOANN SERRANO,797 Primrose Lane 53722,5695501929
245,RANDALL WHITE,83 Briarwood Court 24133,9756993930
248,LONNIE CARRILLO,362 Magnolia Avenue 27636,7356021071
